GENENAME	GENEID	ENTREZID	GENEBIOTYPE
ABCA5	ENSG00000154265	23461	protein_coding
ABCA6	ENSG00000154262	23460	protein_coding
ABCA7	ENSG00000064687	10347	protein_coding
ABCA8	ENSG00000141338	10351	protein_coding
ABCA9	ENSG00000154258	10350	protein_coding
ABCA9-AS1	ENSG00000231749	NA	lncRNA
ABCB1	ENSG00000085563	5243	protein_coding
ABCB10	ENSG00000135776	23456	protein_coding
ABCB10P1	ENSG00000274099	NA	processed_pseudogene
ABCB10P1	ENSG00000280461	NA	processed_pseudogene
ABCB10P1	ENSG00000281173	NA	processed_pseudogene
ABCB10P3	ENSG00000261524	NA	processed_pseudogene
ABCB10P3	ENSG00000282479	NA	processed_pseudogene
ABCB10P4	ENSG00000260053	NA	processed_pseudogene
ABCB10P4	ENSG00000274192	NA	processed_pseudogene
ABCB10P4	ENSG00000282004	NA	processed_pseudogene
ABCB11	ENSG00000073734	8647	protein_coding
ABCB11	ENSG00000276582	8647	protein_coding
ABCB11	LRG_1199	8647	LRG_gene
ABCB4	ENSG00000005471	5244	protein_coding
ABCB5	ENSG00000004846	340273	protein_coding
ABCB6	ENSG00000115657	10058	protein_coding
ABCB7	ENSG00000131269	22	protein_coding
ABCB7	LRG_1162	22	LRG_gene
ABCB8	ENSG00000197150	11194	protein_coding
ABCB9	ENSG00000150967	23457	protein_coding
ABCC1	ENSG00000103222	4363	protein_coding
ABCC1	ENSG00000278183	4363	protein_coding
ABCC10	ENSG00000124574	89845	protein_coding
ABCC11	ENSG00000121270	85320	protein_coding
ABCC12	ENSG00000140798	94160	protein_coding
ABCC13	ENSG00000243064	NA	transcribed_unprocessed_pseudogene
ABCC2	ENSG00000023839	1244	protein_coding
ABCC2	LRG_1208	1244	LRG_gene
ABCC3	ENSG00000108846	8714	protein_coding
ABCC4	ENSG00000125257	10257	protein_coding
ABCC5	ENSG00000114770	10057	protein_coding
ABCC5-AS1	ENSG00000223882	NA	lncRNA
ABCC6	ENSG00000091262	368	protein_coding
ABCC6	ENSG00000275331	368	protein_coding
ABCC6P1	ENSG00000256340	NA	transcribed_unprocessed_pseudogene
ABCC6P2	ENSG00000255277	730013	transcribed_unprocessed_pseudogene
ABCC6P2	ENSG00000273808	730013	transcribed_unprocessed_pseudogene
ABCC8	ENSG00000006071	6833	protein_coding
ABCC9	ENSG00000069431	10060	protein_coding
ABCC9	LRG_377	10060	LRG_gene
ABCD1	ENSG00000101986	215	protein_coding
ABCD1P2	ENSG00000215151	NA	unprocessed_pseudogene
ABCD1P2	ENSG00000288143	NA	unprocessed_pseudogene
ABCD1P3	ENSG00000261233	NA	unprocessed_pseudogene
ABCD1P4	ENSG00000225293	NA	unprocessed_pseudogene
ABCD1P4	ENSG00000288394	NA	unprocessed_pseudogene
ABCD1P5	ENSG00000214330	NA	unprocessed_pseudogene
ABCD2	ENSG00000173208	225	protein_coding
ABCD3	ENSG00000117528	5825	protein_coding
ABCD4	ENSG00000119688	5826	protein_coding
ABCE1	ENSG00000164163	6059	protein_coding
ABCF1	ENSG00000204574	23	protein_coding
ABCF1	ENSG00000206490	23	protein_coding
ABCF1	ENSG00000225989	23	protein_coding
ABCF1	ENSG00000231129	23	protein_coding
ABCF1	ENSG00000232169	23	protein_coding
ABCF1	ENSG00000236149	23	protein_coding
ABCF1	ENSG00000236342	23	protein_coding
ABCF2	ENSG00000033050	10061	protein_coding
ABCF2	ENSG00000285292	114483834	protein_coding
ABCF2P1	ENSG00000242159	NA	processed_pseudogene
ABCF2P2	ENSG00000228769	NA	unprocessed_pseudogene
ABCF3	ENSG00000161204	55324	protein_coding
ABCG1	ENSG00000160179	9619	protein_coding
ABCG2	ENSG00000118777	9429	protein_coding
ABCG4	ENSG00000172350	64137	protein_coding
ABCG5	ENSG00000138075	64240	protein_coding
ABCG8	ENSG00000143921	64241	protein_coding
ABHD1	ENSG00000143994	84696	protein_coding
ABHD10	ENSG00000144827	55347	protein_coding
ABHD11	ENSG00000106077	83451	protein_coding
ABHD11-AS1	ENSG00000225969	NA	transcribed_unitary_pseudogene
ABHD12	ENSG00000100997	26090	protein_coding
ABHD12B	ENSG00000131969	145447	protein_coding
ABHD13	ENSG00000139826	84945	protein_coding
ABHD14A	ENSG00000248487	25864	protein_coding
ABHD14A-ACY1	ENSG00000114786	100526760	protein_coding
ABHD14B	ENSG00000114779	84836	protein_coding
ABHD15	ENSG00000168792	116236	protein_coding
ABHD15-AS1	ENSG00000264031	NA	lncRNA
ABHD16A	ENSG00000204427	7920	protein_coding
ABHD16A	ENSG00000206403	7920	protein_coding
ABHD16A	ENSG00000224552	7920	protein_coding
ABHD16A	ENSG00000230475	7920	protein_coding
ABHD16A	ENSG00000231488	7920	protein_coding
ABHD16A	ENSG00000235676	7920	protein_coding
ABHD16A	ENSG00000236063	7920	protein_coding
ABHD16B	ENSG00000183260	140701	protein_coding
ABHD17A	ENSG00000129968	81926	protein_coding
ABHD17AP1	ENSG00000198658	NA	unprocessed_pseudogene
ABHD17AP3	ENSG00000250536	NA	unprocessed_pseudogene
ABHD17AP4	ENSG00000229107	NA	processed_pseudogene
ABHD17AP5	ENSG00000263366	NA	processed_pseudogene
ABHD17AP6	ENSG00000226981	NA	unprocessed_pseudogene
ABHD17AP7	ENSG00000260864	NA	unprocessed_pseudogene
ABHD17AP8	ENSG00000260540	NA	unprocessed_pseudogene
ABHD17AP9	ENSG00000261536	NA	unprocessed_pseudogene
ABHD17B	ENSG00000107362	51104	protein_coding
ABHD17C	ENSG00000136379	58489	protein_coding
ABHD18	ENSG00000164074	80167	protein_coding
ABHD2	ENSG00000140526	11057	protein_coding
ABHD3	ENSG00000158201	171586	protein_coding
ABHD4	ENSG00000100439	63874	protein_coding
ABHD5	ENSG00000011198	51099	protein_coding
ABHD6	ENSG00000163686	57406	protein_coding
ABHD8	ENSG00000127220	79575	protein_coding
ABI1	ENSG00000136754	10006	protein_coding
ABI1P1	ENSG00000271484	NA	unprocessed_pseudogene
ABI2	ENSG00000138443	10152	protein_coding
ABI3	ENSG00000108798	51225	protein_coding
ABI3BP	ENSG00000154175	25890	protein_coding
ABITRAM	ENSG00000119328	54942	protein_coding
ABITRAMP1	ENSG00000251106	NA	processed_pseudogene
ABL1	ENSG00000097007	25	protein_coding
ABL2	ENSG00000143322	27	protein_coding
ABLIM1	ENSG00000099204	3983	protein_coding
ABLIM2	ENSG00000163995	84448	protein_coding
ABLIM3	ENSG00000173210	22885	protein_coding
ABO	ENSG00000175164	28	protein_coding
ABO	ENSG00000281879	28	protein_coding
ABR	ENSG00000159842	29	protein_coding
ABR	ENSG00000276016	29	protein_coding
ABR	ENSG00000278741	29	protein_coding
ABRA	ENSG00000174429	137735	protein_coding
ABRACL	ENSG00000146386	58527	protein_coding
ABRAXAS1	ENSG00000163322	84142	protein_coding
ABRAXAS2	ENSG00000165660	23172	protein_coding
ABT1	ENSG00000146109	29777	protein_coding
ABT1P1	ENSG00000250496	NA	processed_pseudogene
ABTB1	ENSG00000114626	80325	protein_coding
ABTB2	ENSG00000166016	25841	protein_coding
AC000032.1	ENSG00000260246	NA	lncRNA
AC000035.1	ENSG00000282816	NA	lncRNA
AC000036.1	ENSG00000225929	NA	lncRNA
AC000041.1	ENSG00000242156	NA	unprocessed_pseudogene
AC000050.1	ENSG00000286508	NA	lncRNA
AC000050.2	ENSG00000287911	NA	lncRNA
AC000058.1	ENSG00000223665	NA	lncRNA
AC000061.1	ENSG00000083622	NA	lncRNA
AC000065.1	ENSG00000286742	NA	lncRNA
AC000065.2	ENSG00000287932	NA	lncRNA
AC000067.1	ENSG00000225007	NA	lncRNA
AC000068.1	ENSG00000185065	NA	lncRNA
AC000068.2	ENSG00000273212	NA	lncRNA
AC000068.3	ENSG00000273300	NA	lncRNA
AC000072.1	ENSG00000286367	112268289	lncRNA
AC000077.1	ENSG00000230485	NA	processed_pseudogene
AC000078.1	ENSG00000232926	NA	processed_pseudogene
AC000081.1	ENSG00000230194	NA	processed_pseudogene
AC000081.2	ENSG00000251940	NA	snoRNA
AC000082.1	ENSG00000287652	NA	lncRNA
AC000085.1	ENSG00000287146	NA	lncRNA
AC000089.1	ENSG00000235776	NA	processed_pseudogene
AC000093.1	ENSG00000284874	NA	protein_coding
AC000095.1	ENSG00000270393	NA	processed_pseudogene
AC000095.2	ENSG00000283366	NA	transcribed_unprocessed_pseudogene
AC000095.3	ENSG00000286025	NA	polymorphic_pseudogene
AC000099.1	ENSG00000236340	NA	lncRNA
AC000111.1	ENSG00000234001	NA	processed_pseudogene
AC000111.2	ENSG00000237974	NA	processed_pseudogene
AC000113.1	ENSG00000287685	NA	lncRNA
AC000120.1	ENSG00000243107	NA	lncRNA
AC000120.2	ENSG00000285772	NA	protein_coding
AC000120.3	ENSG00000285953	NA	protein_coding
AC000123.1	ENSG00000224138	NA	lncRNA
AC000123.2	ENSG00000279265	NA	TEC
AC000123.3	ENSG00000280347	NA	TEC
AC000124.1	ENSG00000226770	NA	lncRNA
AC000362.1	ENSG00000230820	NA	processed_pseudogene
AC000367.1	ENSG00000224981	NA	processed_pseudogene
AC000372.1	ENSG00000241921	NA	lncRNA
AC000374.1	ENSG00000227249	NA	processed_pseudogene
AC000403.1	ENSG00000278727	NA	lncRNA
AC001226.1	ENSG00000274898	NA	lncRNA
AC001226.2	ENSG00000283208	NA	protein_coding
AC001228.1	ENSG00000275660	NA	misc_RNA
AC001228.2	ENSG00000282438	NA	lncRNA
AC002044.1	ENSG00000272330	NA	lncRNA
AC002044.2	ENSG00000279591	NA	TEC
AC002044.3	ENSG00000280092	NA	TEC
AC002056.1	ENSG00000213683	NA	processed_pseudogene
AC002056.2	ENSG00000254499	NA	lncRNA
AC002056.3	ENSG00000283252	NA	processed_pseudogene
AC002057.1	ENSG00000287568	NA	lncRNA
AC002057.2	ENSG00000287702	NA	lncRNA
AC002059.1	ENSG00000273216	NA	lncRNA
AC002059.2	ENSG00000280968	NA	miRNA
AC002059.3	ENSG00000285697	NA	transcribed_unprocessed_pseudogene
AC002064.1	ENSG00000225498	NA	lncRNA
AC002064.2	ENSG00000234459	NA	lncRNA
AC002064.3	ENSG00000280440	NA	TEC
AC002066.1	ENSG00000237813	NA	lncRNA
AC002069.1	ENSG00000207094	NA	snoRNA
AC002069.2	ENSG00000233420	NA	lncRNA
AC002069.3	ENSG00000235639	NA	processed_pseudogene
AC002069.4	ENSG00000270812	NA	processed_pseudogene
AC002070.1	ENSG00000248636	NA	lncRNA
AC002072.1	ENSG00000286072	NA	lncRNA
AC002074.1	ENSG00000285090	NA	lncRNA
AC002074.2	ENSG00000285964	NA	lncRNA
AC002075.1	ENSG00000225898	NA	processed_pseudogene
AC002075.2	ENSG00000237729	NA	processed_pseudogene
AC002076.1	ENSG00000234695	NA	lncRNA
AC002076.2	ENSG00000278388	NA	unprocessed_pseudogene
AC002090.1	ENSG00000279743	NA	TEC
AC002091.1	ENSG00000265975	NA	lncRNA
AC002091.2	ENSG00000266389	NA	lncRNA
AC002094.1	ENSG00000258924	NA	lncRNA
AC002094.2	ENSG00000265618	NA	lncRNA
AC002094.3	ENSG00000273171	NA	protein_coding
AC002094.4	ENSG00000277450	NA	lncRNA
AC002094.5	ENSG00000279532	NA	TEC
AC002101.1	ENSG00000261018	NA	lncRNA
AC002115.1	ENSG00000267626	NA	lncRNA
AC002116.1	ENSG00000248101	NA	lncRNA
AC002116.2	ENSG00000267698	101927572	lncRNA
AC002127.1	ENSG00000227979	NA	processed_pseudogene
AC002128.1	ENSG00000268947	NA	lncRNA
AC002128.2	ENSG00000271366	NA	lncRNA
AC002306.1	ENSG00000259242	NA	lncRNA
AC002310.1	ENSG00000235560	107984875	lncRNA
AC002310.2	ENSG00000239791	NA	lncRNA
AC002310.3	ENSG00000260494	NA	unprocessed_pseudogene
AC002310.4	ENSG00000261459	NA	protein_coding
AC002310.5	ENSG00000278922	NA	TEC
AC002331.1	ENSG00000286712	NA	lncRNA
AC002347.1	ENSG00000261433	NA	lncRNA
AC002347.2	ENSG00000263388	NA	lncRNA
AC002350.1	ENSG00000202335	NA	snoRNA
AC002350.2	ENSG00000278993	NA	TEC
AC002351.1	ENSG00000258240	NA	lncRNA
AC002366.1	ENSG00000232392	NA	processed_pseudogene
AC002367.1	ENSG00000226436	NA	processed_pseudogene
AC002368.1	ENSG00000237741	NA	lncRNA
AC002375.1	ENSG00000257268	NA	lncRNA
AC002377.1	ENSG00000286163	NA	lncRNA
AC002378.1	ENSG00000225676	105372988	lncRNA
AC002381.1	ENSG00000228341	NA	processed_pseudogene
AC002383.1	ENSG00000227863	NA	lncRNA
AC002386.1	ENSG00000230941	NA	lncRNA
AC002398.1	ENSG00000267049	NA	lncRNA
AC002398.2	ENSG00000267328	NA	lncRNA
AC002400.1	ENSG00000261528	NA	processed_pseudogene
AC002401.1	ENSG00000236472	NA	lncRNA
AC002401.2	ENSG00000250282	NA	lncRNA
AC002401.3	ENSG00000275025	NA	lncRNA
AC002401.4	ENSG00000276851	NA	lncRNA
AC002407.1	ENSG00000283638	NA	lncRNA
AC002428.1	ENSG00000253927	NA	lncRNA
AC002428.2	ENSG00000254239	NA	lncRNA
AC002429.1	ENSG00000231153	NA	processed_pseudogene
AC002429.2	ENSG00000236197	NA	lncRNA
AC002451.1	ENSG00000231170	NA	lncRNA
AC002451.2	ENSG00000279525	NA	TEC
AC002454.1	ENSG00000237819	NA	lncRNA
AC002456.1	ENSG00000223969	NA	lncRNA
AC002456.2	ENSG00000251154	NA	unprocessed_pseudogene
AC002458.1	ENSG00000286411	NA	lncRNA
AC002460.1	ENSG00000249317	NA	lncRNA
AC002460.2	ENSG00000287292	NA	lncRNA
AC002463.1	ENSG00000223646	NA	lncRNA
AC002464.1	ENSG00000260188	NA	lncRNA
AC002465.1	ENSG00000238202	NA	lncRNA
AC002465.2	ENSG00000286390	NA	lncRNA
AC002467.1	ENSG00000241764	NA	lncRNA
AC002470.1	ENSG00000272829	NA	lncRNA
AC002470.2	ENSG00000285314	NA	lncRNA
AC002472.1	ENSG00000226872	NA	lncRNA
AC002472.2	ENSG00000284060	NA	transcribed_unprocessed_pseudogene
AC002472.3	ENSG00000284130	NA	transcribed_unprocessed_pseudogene
AC002472.4	ENSG00000284665	NA	unprocessed_pseudogene
AC002480.1	ENSG00000232759	NA	lncRNA
AC002480.2	ENSG00000232949	NA	lncRNA
AC002486.1	ENSG00000223866	NA	processed_pseudogene
AC002486.2	ENSG00000231525	NA	processed_pseudogene
AC002487.1	ENSG00000270425	NA	processed_pseudogene
AC002504.1	ENSG00000214111	NA	processed_pseudogene
AC002511.1	ENSG00000232680	NA	lncRNA
AC002511.2	ENSG00000233214	NA	lncRNA
AC002511.3	ENSG00000283479	NA	transcribed_unprocessed_pseudogene
AC002519.1	ENSG00000259810	NA	lncRNA
AC002519.2	ENSG00000261457	NA	transcribed_processed_pseudogene
AC002524.1	ENSG00000233247	NA	processed_pseudogene
AC002525.1	ENSG00000279314	NA	TEC
AC002529.1	ENSG00000287827	NA	lncRNA
AC002540.1	ENSG00000279067	NA	TEC
AC002542.1	ENSG00000227532	NA	processed_pseudogene
AC002542.2	ENSG00000274344	NA	misc_RNA
AC002542.3	ENSG00000275054	NA	misc_RNA
AC002542.4	ENSG00000278482	NA	misc_RNA
AC002542.5	ENSG00000278526	NA	misc_RNA
AC002542.6	ENSG00000287829	NA	lncRNA
AC002543.1	ENSG00000235945	NA	processed_pseudogene
AC002545.1	ENSG00000267184	NA	processed_pseudogene
AC002546.1	ENSG00000267653	NA	lncRNA
AC002550.1	ENSG00000261312	NA	lncRNA
AC002550.2	ENSG00000276571	NA	lncRNA
AC002551.1	ENSG00000261736	NA	lncRNA
AC002553.1	ENSG00000227782	NA	lncRNA
AC002553.2	ENSG00000275413	NA	lncRNA
AC002558.1	ENSG00000239291	NA	processed_pseudogene
AC002558.2	ENSG00000261872	NA	lncRNA
AC002558.3	ENSG00000262265	NA	lncRNA
AC002563.1	ENSG00000255692	NA	lncRNA
AC002984.1	ENSG00000267005	NA	processed_pseudogene
AC002985.1	ENSG00000268193	NA	protein_coding
AC002996.1	ENSG00000257767	NA	protein_coding
AC003001.1	ENSG00000235461	NA	lncRNA
AC003001.2	ENSG00000276391	NA	processed_pseudogene
AC003002.1	ENSG00000268133	NA	protein_coding
AC003002.2	ENSG00000268533	NA	protein_coding
AC003002.3	ENSG00000269533	NA	protein_coding
AC003005.1	ENSG00000268107	NA	protein_coding
AC003005.2	ENSG00000268266	NA	lncRNA
AC003006.1	ENSG00000269026	NA	protein_coding
AC003009.1	ENSG00000262011	NA	lncRNA
AC003035.1	ENSG00000212663	NA	lncRNA
AC003035.2	ENSG00000233535	NA	lncRNA
AC003042.1	ENSG00000282570	NA	lncRNA
AC003042.2	ENSG00000282707	NA	processed_pseudogene
AC003043.1	ENSG00000267211	NA	lncRNA
AC003043.2	ENSG00000285486	NA	lncRNA
AC003044.1	ENSG00000287523	NA	lncRNA
AC003045.1	ENSG00000214684	NA	processed_pseudogene
AC003070.1	ENSG00000267344	NA	lncRNA
AC003070.2	ENSG00000267446	NA	lncRNA
AC003070.3	ENSG00000275780	NA	rRNA_pseudogene
AC003070.4	ENSG00000281982	NA	lncRNA
AC003070.5	ENSG00000282563	NA	lncRNA
AC003070.6	ENSG00000283454	NA	rRNA_pseudogene
AC003070.7	ENSG00000285757	NA	rRNA_pseudogene
AC003071.1	ENSG00000225971	NA	processed_pseudogene
AC003071.2	ENSG00000226573	NA	processed_pseudogene
AC003072.1	ENSG00000250318	NA	unprocessed_pseudogene
AC003072.2	ENSG00000288153	NA	unprocessed_pseudogene
AC003077.1	ENSG00000287011	NA	lncRNA
AC003080.1	ENSG00000234358	NA	processed_pseudogene
AC003084.1	ENSG00000234826	NA	lncRNA
AC003086.1	ENSG00000287672	112267986	lncRNA
AC003087.1	ENSG00000227930	NA	lncRNA
AC003092.1	ENSG00000236453	NA	lncRNA
AC003092.2	ENSG00000236938	NA	lncRNA
AC003093.1	ENSG00000287093	NA	lncRNA
AC003098.1	ENSG00000267604	NA	lncRNA
AC003101.1	ENSG00000228768	NA	lncRNA
AC003101.2	ENSG00000278546	NA	lncRNA
AC003101.3	ENSG00000278977	NA	TEC
AC003102.1	ENSG00000260793	NA	lncRNA
AC003103.1	ENSG00000282043	NA	lncRNA
AC003103.2	ENSG00000282166	NA	lncRNA
AC003109.1	ENSG00000212590	NA	snoRNA
AC003657.1	ENSG00000278218	NA	misc_RNA
AC003659.1	ENSG00000237994	NA	lncRNA
AC003666.1	ENSG00000227042	NA	lncRNA
AC003669.1	ENSG00000237539	NA	processed_pseudogene
AC003681.1	ENSG00000279159	NA	lncRNA
AC003682.1	ENSG00000268392	NA	lncRNA
AC003684.1	ENSG00000228543	NA	lncRNA
AC003685.1	ENSG00000229012	NA	lncRNA
AC003685.2	ENSG00000231619	NA	processed_pseudogene
AC003686.1	ENSG00000257807	NA	processed_pseudogene
AC003687.1	ENSG00000264598	NA	lncRNA
AC003688.1	ENSG00000262302	NA	protein_coding
AC003688.2	ENSG00000263342	NA	lncRNA
AC003688.3	ENSG00000288264	NA	protein_coding
AC003688.4	ENSG00000288371	NA	lncRNA
AC003950.1	ENSG00000285785	NA	lncRNA
AC003956.1	ENSG00000268564	NA	lncRNA
AC003957.1	ENSG00000279825	NA	TEC
AC003958.1	ENSG00000108516	NA	unprocessed_pseudogene
AC003958.2	ENSG00000234859	NA	lncRNA
AC003958.3	ENSG00000262040	NA	unprocessed_pseudogene
AC003958.4	ENSG00000262282	NA	unprocessed_pseudogene
AC003958.5	ENSG00000262603	NA	lncRNA
AC003965.1	ENSG00000263280	NA	lncRNA
AC003965.2	ENSG00000263325	NA	lncRNA
AC003965.3	ENSG00000283049	NA	lncRNA
AC003973.1	ENSG00000269504	NA	lncRNA
AC003973.2	ENSG00000279377	NA	TEC
AC003975.1	ENSG00000197462	NA	lncRNA
AC003976.1	ENSG00000275347	NA	processed_pseudogene
AC003976.2	ENSG00000282348	NA	lncRNA
AC003982.1	ENSG00000256695	NA	lncRNA
AC003984.1	ENSG00000235139	101927378	lncRNA
AC003985.1	ENSG00000233824	NA	lncRNA
AC003986.1	ENSG00000229533	NA	lncRNA
AC003986.2	ENSG00000232821	NA	lncRNA
AC003986.3	ENSG00000236536	NA	lncRNA
AC003988.1	ENSG00000234223	NA	lncRNA
AC003989.1	ENSG00000227948	NA	processed_pseudogene
AC003989.2	ENSG00000243621	NA	processed_pseudogene
AC003991.1	ENSG00000228113	NA	lncRNA
AC003991.2	ENSG00000254003	NA	lncRNA
AC003992.1	ENSG00000282859	NA	lncRNA
AC004000.1	ENSG00000237903	NA	lncRNA
AC004004.1	ENSG00000270317	NA	processed_pseudogene
AC004006.1	ENSG00000228711	NA	processed_pseudogene
AC004009.1	ENSG00000224322	NA	lncRNA
AC004009.2	ENSG00000279429	NA	TEC
AC004009.3	ENSG00000279655	NA	TEC
AC004012.1	ENSG00000233942	NA	lncRNA
AC004014.1	ENSG00000229603	NA	lncRNA
AC004014.2	ENSG00000279043	NA	TEC
AC004022.1	ENSG00000228751	NA	processed_pseudogene
AC004022.2	ENSG00000237160	NA	processed_pseudogene
AC004023.1	ENSG00000261462	NA	lncRNA
AC004024.1	ENSG00000257624	NA	processed_pseudogene
AC004034.1	ENSG00000262482	NA	lncRNA
AC004039.1	ENSG00000230612	NA	lncRNA
AC004047.1	ENSG00000286291	NA	lncRNA
AC004052.1	ENSG00000251170	NA	lncRNA
AC004053.1	ENSG00000248242	NA	lncRNA
AC004054.1	ENSG00000248984	NA	lncRNA
AC004057.1	ENSG00000196656	NA	transcribed_processed_pseudogene
AC004062.1	ENSG00000251312	NA	processed_pseudogene
AC004063.1	ENSG00000250670	NA	lncRNA
AC004066.1	ENSG00000216425	NA	processed_pseudogene
AC004066.2	ENSG00000250522	NA	lncRNA
AC004067.1	ENSG00000273447	NA	lncRNA
AC004069.1	ENSG00000251259	NA	lncRNA
AC004069.2	ENSG00000251473	NA	processed_pseudogene
AC004069.3	ENSG00000252136	NA	snoRNA
AC004074.1	ENSG00000237014	NA	processed_pseudogene
AC004076.1	ENSG00000268163	NA	protein_coding
AC004076.2	ENSG00000276449	NA	lncRNA
AC004079.1	ENSG00000274396	NA	misc_RNA
AC004079.2	ENSG00000274864	NA	misc_RNA
AC004079.3	ENSG00000276528	NA	misc_RNA
AC004079.4	ENSG00000276771	NA	misc_RNA
AC004079.5	ENSG00000277694	NA	misc_RNA
AC004080.1	ENSG00000253308	NA	lncRNA
AC004080.10	ENSG00000277469	NA	misc_RNA
AC004080.11	ENSG00000277553	NA	misc_RNA
AC004080.12	ENSG00000277966	NA	misc_RNA
AC004080.13	ENSG00000278020	NA	misc_RNA
AC004080.14	ENSG00000278334	NA	misc_RNA
